Time,Symbol,Funding Interval,Funding Rate
2024-01-12 03:00:00,ETHUSD ETH-Margin,every 8 hours,0.1618%
2024-01-11 19:00:00,ETHUSD ETH-Margin,every 8 hours,0.3053%
2024-01-11 11:00:00,ETHUSD ETH-Margin,every 8 hours,0.0804%
2024-01-11 03:00:00,ETHUSD ETH-Margin,every 8 hours,0.0895%
2024-01-10 19:00:00,ETHUSD ETH-Margin,every 8 hours,0.0100%
2024-01-10 11:00:00,ETHUSD ETH-Margin,every 8 hours,0.0100%
2024-01-10 03:00:00,ETHUSD ETH-Margin,every 8 hours,0.0100%
2024-01-09 19:00:00,ETHUSD ETH-Margin,every 8 hours,0.0100%
2024-01-09 11:00:00,ETHUSD ETH-Margin,every 8 hours,0.0100%
2024-01-09 03:00:00,ETHUSD ETH-Margin,every 8 hours,0.0100%
2024-01-08 19:00:00,ETHUSD ETH-Margin,every 8 hours,0.0100%
2024-01-08 11:00:00,ETHUSD ETH-Margin,every 8 hours,0.0100%
2024-01-08 03:00:00,ETHUSD ETH-Margin,every 8 hours,0.0100%
2024-01-07 19:00:00,ETHUSD ETH-Margin,every 8 hours,0.0100%
2024-01-07 11:00:00,ETHUSD ETH-Margin,every 8 hours,0.0100%
2024-01-07 03:00:00,ETHUSD ETH-Margin,every 8 hours,0.0100%
2024-01-06 19:00:00,ETHUSD ETH-Margin,every 8 hours,0.0100%
2024-01-06 11:00:00,ETHUSD ETH-Margin,every 8 hours,0.0100%
2024-01-06 03:00:00,ETHUSD ETH-Margin,every 8 hours,0.0100%
2024-01-05 19:00:00,ETHUSD ETH-Margin,every 8 hours,0.0100%
2024-01-05 11:00:00,ETHUSD ETH-Margin,every 8 hours,0.0100%
2024-01-05 03:00:00,ETHUSD ETH-Margin,every 8 hours,0.0100%
2024-01-04 19:00:00,ETHUSD ETH-Margin,every 8 hours,0.0100%
2024-01-04 11:00:00,ETHUSD ETH-Margin,every 8 hours,0.0100%
2024-01-04 03:00:00,ETHUSD ETH-Margin,every 8 hours,0.0100%
2024-01-03 19:00:00,ETHUSD ETH-Margin,every 8 hours,0.0100%
2024-01-03 11:00:00,ETHUSD ETH-Margin,every 8 hours,0.0100%
2024-01-03 03:00:00,ETHUSD ETH-Margin,every 8 hours,0.0286%
2024-01-02 19:00:00,ETHUSD ETH-Margin,every 8 hours,0.0446%
2024-01-02 11:00:00,ETHUSD ETH-Margin,every 8 hours,0.0696%
2024-01-02 03:00:00,ETHUSD ETH-Margin,every 8 hours,0.0475%
2024-01-01 19:00:00,ETHUSD ETH-Margin,every 8 hours,0.0407%
2024-01-01 11:00:00,ETHUSD ETH-Margin,every 8 hours,0.0348%
2024-01-01 03:00:00,ETHUSD ETH-Margin,every 8 hours,0.0300%
2023-12-31 19:00:00,ETHUSD ETH-Margin,every 8 hours,0.0300%
2023-12-31 11:00:00,ETHUSD ETH-Margin,every 8 hours,0.0300%
2023-12-31 03:00:00,ETHUSD ETH-Margin,every 8 hours,0.0268%
2023-12-30 19:00:00,ETHUSD ETH-Margin,every 8 hours,0.0210%
2023-12-30 11:00:00,ETHUSD ETH-Margin,every 8 hours,0.0261%
2023-12-30 03:00:00,ETHUSD ETH-Margin,every 8 hours,0.0294%
2023-12-29 19:00:00,ETHUSD ETH-Margin,every 8 hours,0.0336%
2023-12-29 11:00:00,ETHUSD ETH-Margin,every 8 hours,0.0508%
2023-12-29 03:00:00,ETHUSD ETH-Margin,every 8 hours,0.0468%
2023-12-28 19:00:00,ETHUSD ETH-Margin,every 8 hours,0.0487%
2023-12-28 11:00:00,ETHUSD ETH-Margin,every 8 hours,0.0490%
2023-12-28 03:00:00,ETHUSD ETH-Margin,every 8 hours,0.0334%
2023-12-27 19:00:00,ETHUSD ETH-Margin,every 8 hours,0.0220%
2023-12-27 11:00:00,ETHUSD ETH-Margin,every 8 hours,0.0544%
2023-12-27 03:00:00,ETHUSD ETH-Margin,every 8 hours,0.0380%
2023-12-26 19:00:00,ETHUSD ETH-Margin,every 8 hours,0.0326%
2023-12-26 11:00:00,ETHUSD ETH-Margin,every 8 hours,0.0337%
2023-12-26 03:00:00,ETHUSD ETH-Margin,every 8 hours,0.0366%
2023-12-25 19:00:00,ETHUSD ETH-Margin,every 8 hours,0.0584%
2023-12-25 11:00:00,ETHUSD ETH-Margin,every 8 hours,0.0347%
2023-12-25 03:00:00,ETHUSD ETH-Margin,every 8 hours,0.0174%
2023-12-24 19:00:00,ETHUSD ETH-Margin,every 8 hours,0.0109%
2023-12-24 11:00:00,ETHUSD ETH-Margin,every 8 hours,0.0174%
2023-12-24 03:00:00,ETHUSD ETH-Margin,every 8 hours,0.0195%
2023-12-23 19:00:00,ETHUSD ETH-Margin,every 8 hours,0.0120%
2023-12-23 11:00:00,ETHUSD ETH-Margin,every 8 hours,0.0167%
2023-12-23 03:00:00,ETHUSD ETH-Margin,every 8 hours,0.0153%
2023-12-22 19:00:00,ETHUSD ETH-Margin,every 8 hours,0.0162%
2023-12-22 11:00:00,ETHUSD ETH-Margin,every 8 hours,0.0362%
2023-12-22 03:00:00,ETHUSD ETH-Margin,every 8 hours,0.0353%
2023-12-21 19:00:00,ETHUSD ETH-Margin,every 8 hours,0.0415%
2023-12-21 11:00:00,ETHUSD ETH-Margin,every 8 hours,0.0309%
2023-12-21 03:00:00,ETHUSD ETH-Margin,every 8 hours,0.0247%
2023-12-20 19:00:00,ETHUSD ETH-Margin,every 8 hours,0.0291%
2023-12-20 11:00:00,ETHUSD ETH-Margin,every 8 hours,0.0128%
2023-12-20 03:00:00,ETHUSD ETH-Margin,every 8 hours,0.0100%
2023-12-19 19:00:00,ETHUSD ETH-Margin,every 8 hours,0.0100%
